Tuan Khoo Poay Tiong,Kota Melaka
Kapten Azahari bin Hasan,Padang Rengas
Menteri Komunikasi [Tuan Ahmad Fahmi bin Mohamed Fadzil],Lembah Pantai
Kapten Azahari bin Hasan,Padang Rengas
Tuan Ahmad Fahmi bin Mohamed Fadzil,Lembah Pantai
Puan Wong Shu Qi,Kluang
Tuan Ahmad Fahmi bin Mohamed Fadzil,Lembah Pantai
Tuan Haji Manndzri bin Haji Nasib,Tenggara
Timbalan Menteri Perumahan dan Kerajaan Tempatan [Datuk Hajah Raj Munni binti Sabu],n/a
Tuan Haji Manndzri bin Haji Nasib,Tenggara
Datuk Hajah Raj Munni binti Sabu,n/a
Dato’ Sri Dr. Haji Ismail bin Abd Muttalib,Maran
Datuk Hajah Raj Munni binti Sabu,n/a
Dr. Mohammed Taufiq bin Johari,Sungai Petani
Timbalan Menteri Kesihatan [Dato Lukanisman bin Awang Sauni],Sibuti
Timbalan Yang di-Pertua [Dato’ Ramli bin Dato’ Mohd Nor],Cameron Highlands
Dr. Mohammed Taufiq bin Johari,Sungai Petani
Dato Lukanisman bin Awang Sauni,Sibuti
Dato' Dr. Hj. Alias bin Razak,Kuala Nerus
Dato Lukanisman bin Awang Sauni,Sibuti
Tuan Haji Bakri bin Jamaluddin,Tangga Batu
Timbalan Menteri Sumber Manusia [Dato’ Sri Abdul Rahman bin Haji Mohamad],Lipis
Tuan Haji Bakri bin Jamaluddin,Tangga Batu
Dato’ Sri Abdul Rahman bin Haji Mohamad],Lipis
Tuan Syed Saddiq bin Syed Abdul Rahman,Muar
Dato’ Sri Abdul Rahman bin Haji Mohamad,Lipis
Tuan Chong Zhemin,Kampar
Menteri Ekonomi [Dato’ Seri Mohd Rafizi bin Ramli],Pandan
Tuan Chong Zhemin,Kampar
Dato’ Seri Mohd Rafizi bin Ramli,Pandan
Puan Hajah Salamiah binti Mohd Nor,Temerloh
Dato’ Seri Mohd Rafizi bin Ramli,Pandan
Dato' Dr. Zulkafperi bin Hanapi,Tanjong Karang
Timbalan Menteri Pelaburan, Perdagangan dan Industri [Tuan Liew Chin Tong],Iskandar Puteri
Dato' Dr. Zulkafperi bin Hanapi,Tanjong Karang
Tuan Liew Chin Tong,Iskandar Puteri
Dato’ Siti Zailah binti Mohd Yusoff,Rantau Panjang
Tuan Liew Chin Tong,Iskandar Puteri
Datuk Hajah Siti Aminah binti Aching,Beaufort
Timbalan Menteri Kemajuan Desa dan Wilayah [Datuk Hajah Rubiah binti Wang],Kota Samarahan
Datuk Hajah Siti Aminah binti Aching,Beaufort
Datuk Hajah Rubiah binti Wang,Kota Samarahan
Tuan Kamal bin Ashaari,Kuala Krau
Datuk Hajah Rubiah binti Wang,Kota Samarahan
Datuk Seri Panglima Moktar bin Radin,Kinabatangan
Tuan Haji Abdul Latiff bin Abdul Rahman,Kuala Krai
Timbalan Menteri Digital [Datuk Ugak anak Kumbong],Hulu Rajang
Timbalan Menteri Kemajuan Desa dan Wilayah [Datuk Hajah Rubiah binti Wang],Kota Samarahan
Menteri Pertanian dan Keterjaminan Makanan [Datuk Seri Haji Mohamad bin Sabu],Kota Raja
Dato’ Seri Dr. Shahidan bin Kassim,Arau
Datuk Seri Haji Mohamad bin Sabu,Kota Raja
Dr. Mohammed Taufiq bin Johari,Sungai Petani
Datuk Seri Dr. Ronald Kiandee,Beluran
Datuk Haji Awang bin Hashim,Pendang
Datuk Seri Dr. Ronald Kiandee,Beluran
Tuan Haji Azli bin Yusof,Shah Alam
Datuk Haji Awang bin Hashim,Pendang
Tuan Haji Azli bin Yusof,Shah Alam
Dato’ Rosol bin Wahid,Hulu Terengganu
Tuan Haji Azli bin Yusof,Shah Alam
Dato’ Seri Dr. Shahidan bin Kassim,Arau
Timbalan Yang di-Pertua [Puan Alice Lau Kiong Yieng],Lanang
Dato’ Seri Dr. Shahidan bin Kassim,Arau
Datuk Haji Awang bin Hashim,Pendang
Dato’ Seri Dr. Shahidan bin Kassim,Arau
Datuk Haji Awang bin Hashim,Pendang
Menteri Pertanian dan Keterjaminan Makanan [Datuk Seri Haji Mohamad bin Sabu],Kota Raja
Tuan Ahmad Tarmizi bin Sulaiman,Sik
Datuk Seri Haji Mohamad bin Sabu,Kota Raja
Datuk Dr. Radzi bin Jidin,Putrajaya
Datuk Seri Haji Mohamad bin Sabu,Kota Raja
Datuk Haji Awang bin Hashim,Pendang
Datuk Seri Haji Mohamad bin Sabu,Kota Raja
Datuk Dr. Radzi bin Jidin,Putrajaya
Datuk Seri Haji Mohamad bin Sabu,Kota Raja
Tuan Haji Azli bin Yusof,Shah Alam
Datuk Haji Awang bin Hashim,Pendang
Tuan Haji Azli bin Yusof,Shah Alam
Tuan Jimmy Puah Wee Tse,Tebrau
Dato’ Sri Ismail Sabri bin Yaakob,Bera
Dato’ Rosol bin Wahid,Hulu Terengganu
Dato’ Sri Ismail Sabri bin Yaakob,Bera
Tan Sri Dato’ Haji Mahiaddin bin Md Yassin,Pagoh
Dato’ Rosol bin Wahid,Hulu Terengganu
Tan Sri Dato' Haji Mahiaddin bin Md Yasin,Pagoh
Datuk Haji Awang bin Hashim,Pendang
Tan Sri Dato’ Haji Mahiaddin bin Md Yassin,Pagoh
Tuan Roy Angau anak Gingkoi,Lubok Antu
Puan Hajah Salamiah binti Mohd Nor,Temerloh
Dato’ Ngeh Koo Ham,Beruas
Puan Hajah Salamiah binti Mohd Nor,Temerloh
Dato’ Seri Utama Aminuddin bin Harun,Port Dickson
Tuan Haji Muhammad Islahuddin bin Abas,Mersing
Dato’ Rosol bin Wahid,Hulu Terengganu
Tuan Haji Muhammad Islahuddin bin Abas,Mersing
Puan Syerleena binti Abdul Rashid,Bukit Bendera
Dato’ Rosol bin Wahid,Hulu Terengganu
Puan Syerleena binti Abdul Rashid,Bukit Bendera
Dato' Wira Dr. Ku Abd Rahman bin Ku Ismail,Kubang Pasu
Datuk Seri Jalaluddin bin Alias,Jelebu
Dato’ Rosol bin Wahid,Hulu Terengganu
Datuk Seri Jalaluddin bin Alias,Jelebu
Dato' Wira Dr. Ku Abd Rahman bin Ku Ismail,Kubang Pasu
Tuan Hassan bin Saad,Baling
Tuan Jimmy Puah Wee Tse,Tebrau
Tuan Edwin anak Banta,Selangau
Tuan Mohd Nazri bin Abu Hassan,Merbok
Dato’ Rosol bin Wahid,Hulu Terengganu
Tuan Mohd Nazri bin Abu Hassan,Merbok
Tuan Haji Onn bin Abu Bakar,Batu Pahat
Tuan Mohd Nazri bin Abu Hassan,Merbok
Tuan Lee Chuan How,Ipoh Timor
Tuan Mohd Nazri bin Abu Hassan,Merbok
Tuan Lee Chuan How,Ipoh Timor
Tuan Mohd Nazri bin Abu Hassan,Merbok
Tuan Haji Azli bin Yusof,Shah Alam
Tuan Mohd Nazri bin Abu Hassan,Merbok
Puan Wong Shu Qi,Kluang
Tuan Zahari bin Kechik,Jeli
Dato' Muhammad Bakhtiar bin Wan Chik,Balik Pulau
Tuan Prabakaran a/l M Parameswaran,Batu
Dato' Muhammad Bakhtiar bin Wan Chik,Balik Pulau
